entity_id,entity_type,reason,listed_date
acc_225379,account,Known botnet activity,2025-11-19
dev_868090,device,Suspicious login pattern,2025-09-09
75.113.94.241,ip,Previous fraud attempt,2025-12-01
dev_833225,device,Previous fraud attempt,2025-10-14
dev_706086,device,Known botnet activity,2025-10-18
dev_92620,device,Previous fraud attempt,2025-09-17
dev_758473,device,Previous fraud attempt,2025-10-28
dev_181821,device,Known botnet activity,2025-11-14
dev_874731,device,Known botnet activity,2025-12-26
11.94.90.149,ip,Chargeback abuse,2025-10-11
dev_736530,device,Suspicious login pattern,2025-09-26
dev_31713,device,Suspicious login pattern,2025-09-16
48.151.164.143,ip,Chargeback abuse,2025-12-03
dev_172090,device,Known botnet activity,2025-10-01
acc_152999,account,Chargeback abuse,2025-09-20
220.252.223.186,ip,Previous fraud attempt,2025-10-27
acc_205350,account,Previous fraud attempt,2025-10-18
acc_680831,account,Known botnet activity,2025-10-26
45.4.142.87,ip,Chargeback abuse,2025-12-04
dev_721082,device,Known botnet activity,2025-10-30
dev_506672,device,Known botnet activity,2025-12-16
dev_931552,device,Chargeback abuse,2025-10-12
204.82.181.36,ip,Chargeback abuse,2025-09-15
dev_352655,device,Chargeback abuse,2025-11-15
192.248.135.159,ip,Chargeback abuse,2025-11-15
acc_452241,account,Known botnet activity,2025-12-06
65.123.158.103,ip,Chargeback abuse,2025-12-26
105.191.223.245,ip,Suspicious login pattern,2025-09-06
dev_374013,device,Chargeback abuse,2025-11-05
dev_291682,device,Chargeback abuse,2025-10-26
acc_336311,account,Known botnet activity,2025-10-24
dev_265716,device,Previous fraud attempt,2025-09-14
acc_132633,account,Suspicious login pattern,2025-09-01
175.142.144.96,ip,Previous fraud attempt,2025-09-12
acc_366877,account,Suspicious login pattern,2025-11-04
167.79.79.222,ip,Known botnet activity,2025-09-05
69.8.246.171,ip,Suspicious login pattern,2025-08-29
17.220.9.243,ip,Previous fraud attempt,2025-12-11
dev_317437,device,Known botnet activity,2025-10-30
dev_469212,device,Previous fraud attempt,2025-11-27
dev_216163,device,Previous fraud attempt,2025-12-08
acc_474572,account,Suspicious login pattern,2025-11-02
dev_473819,device,Previous fraud attempt,2025-10-01
220.136.183.189,ip,Suspicious login pattern,2025-09-08
dev_690367,device,Previous fraud attempt,2025-11-14
acc_605283,account,Previous fraud attempt,2025-09-24
acc_542139,account,Chargeback abuse,2025-10-09
75.145.200.74,ip,Known botnet activity,2025-10-07
118.165.39.54,ip,Chargeback abuse,2025-11-18
dev_24698,device,Previous fraud attempt,2025-09-20
dev_488466,device,Suspicious login pattern,2025-10-10
acc_684781,account,Known botnet activity,2025-12-19
acc_94286,account,Chargeback abuse,2025-11-27
dev_600664,device,Known botnet activity,2025-09-15
159.255.177.254,ip,Chargeback abuse,2025-12-26
dev_766941,device,Known botnet activity,2025-11-10
acc_620193,account,Suspicious login pattern,2025-11-06
dev_26401,device,Known botnet activity,2025-10-11
35.124.109.168,ip,Known botnet activity,2025-12-10
dev_125810,device,Chargeback abuse,2025-10-27
46.5.115.117,ip,Previous fraud attempt,2025-11-20
175.62.198.201,ip,Chargeback abuse,2025-09-16
dev_721788,device,Suspicious login pattern,2025-10-23
223.60.235.179,ip,Previous fraud attempt,2025-09-16
dev_455424,device,Suspicious login pattern,2025-10-05
20.102.96.174,ip,Suspicious login pattern,2025-12-14
132.44.174.251,ip,Known botnet activity,2025-12-13
acc_556802,account,Previous fraud attempt,2025-12-26
dev_224295,device,Suspicious login pattern,2025-09-17
dev_769335,device,Previous fraud attempt,2025-09-05
155.95.181.79,ip,Suspicious login pattern,2025-10-20
acc_799830,account,Suspicious login pattern,2025-12-20
acc_611771,account,Previous fraud attempt,2025-11-25
acc_508431,account,Chargeback abuse,2025-11-01
116.98.200.67,ip,Chargeback abuse,2025-12-13
acc_610539,account,Chargeback abuse,2025-08-31
acc_321243,account,Previous fraud attempt,2025-12-08
acc_1153,account,Known botnet activity,2025-11-02
acc_110878,account,Suspicious login pattern,2025-12-24
dev_127646,device,Known botnet activity,2025-12-24
acc_783136,account,Chargeback abuse,2025-11-15
dev_915635,device,Suspicious login pattern,2025-12-15
38.126.105.53,ip,Previous fraud attempt,2025-10-15
acc_597720,account,Chargeback abuse,2025-12-16
acc_832231,account,Suspicious login pattern,2025-12-26
26.53.130.251,ip,Previous fraud attempt,2025-10-06
dev_782851,device,Previous fraud attempt,2025-11-19
dev_915950,device,Known botnet activity,2025-10-30
acc_318227,account,Suspicious login pattern,2025-12-01
12.209.200.158,ip,Chargeback abuse,2025-12-02
acc_216339,account,Previous fraud attempt,2025-09-04
acc_587134,account,Known botnet activity,2025-10-14
dev_675654,device,Suspicious login pattern,2025-09-20
acc_405534,account,Chargeback abuse,2025-12-16
131.54.189.69,ip,Chargeback abuse,2025-10-02
dev_450795,device,Chargeback abuse,2025-09-16
dev_152433,device,Known botnet activity,2025-10-22
dev_504220,device,Known botnet activity,2025-10-07
131.20.208.31,ip,Known botnet activity,2025-11-07
acc_363507,account,Chargeback abuse,2025-10-12
acc_605537,account,Previous fraud attempt,2025-11-05
dev_512303,device,Chargeback abuse,2025-11-09
100.29.112.83,ip,Suspicious login pattern,2025-08-30
acc_934872,account,Suspicious login pattern,2025-11-29
acc_490747,account,Known botnet activity,2025-09-02
dev_67161,device,Chargeback abuse,2025-12-09
acc_272983,account,Known botnet activity,2025-10-05
acc_483880,account,Previous fraud attempt,2025-11-09
acc_540068,account,Suspicious login pattern,2025-09-02
acc_680900,account,Known botnet activity,2025-12-24
acc_144764,account,Previous fraud attempt,2025-09-20
6.122.87.119,ip,Suspicious login pattern,2025-10-23
dev_740065,device,Previous fraud attempt,2025-10-12
132.43.77.132,ip,Suspicious login pattern,2025-09-10
78.56.14.34,ip,Suspicious login pattern,2025-11-16
acc_680040,account,Known botnet activity,2025-11-17
acc_413286,account,Known botnet activity,2025-10-01
acc_161528,account,Previous fraud attempt,2025-11-12
53.13.50.6,ip,Chargeback abuse,2025-11-17
35.80.212.110,ip,Previous fraud attempt,2025-10-26
dev_944324,device,Chargeback abuse,2025-11-02
acc_803082,account,Suspicious login pattern,2025-10-22
dev_305856,device,Known botnet activity,2025-09-27
59.191.103.11,ip,Known botnet activity,2025-09-30
acc_972617,account,Known botnet activity,2025-10-09
dev_251456,device,Suspicious login pattern,2025-12-10
dev_155136,device,Suspicious login pattern,2025-09-07
acc_894695,account,Chargeback abuse,2025-12-13
dev_181556,device,Known botnet activity,2025-11-06
126.91.9.188,ip,Known botnet activity,2025-09-04
dev_357429,device,Suspicious login pattern,2025-10-14
acc_184122,account,Suspicious login pattern,2025-09-04
197.35.151.20,ip,Chargeback abuse,2025-09-18
dev_727457,device,Chargeback abuse,2025-09-09
acc_711475,account,Known botnet activity,2025-12-23
61.89.190.21,ip,Known botnet activity,2025-10-04
94.157.93.98,ip,Chargeback abuse,2025-10-25
dev_970479,device,Previous fraud attempt,2025-09-23
dev_837706,device,Suspicious login pattern,2025-12-02
17.151.141.141,ip,Suspicious login pattern,2025-12-07
acc_782908,account,Known botnet activity,2025-12-20
dev_561985,device,Suspicious login pattern,2025-12-08
77.40.21.58,ip,Chargeback abuse,2025-11-06
dev_640175,device,Chargeback abuse,2025-10-23
dev_152534,device,Chargeback abuse,2025-12-15
dev_341778,device,Known botnet activity,2025-10-09
acc_628585,account,Previous fraud attempt,2025-11-19
dev_995568,device,Previous fraud attempt,2025-11-18
129.209.154.219,ip,Known botnet activity,2025-10-29
163.41.251.184,ip,Previous fraud attempt,2025-09-25
dev_59253,device,Suspicious login pattern,2025-10-21
dev_140295,device,Suspicious login pattern,2025-12-10
131.98.223.219,ip,Chargeback abuse,2025-12-06
acc_938629,account,Previous fraud attempt,2025-12-23
dev_45376,device,Known botnet activity,2025-12-19
acc_257672,account,Suspicious login pattern,2025-10-08
acc_99885,account,Previous fraud attempt,2025-09-21
dev_745870,device,Chargeback abuse,2025-12-22
acc_142324,account,Chargeback abuse,2025-09-05
acc_856988,account,Known botnet activity,2025-10-07
dev_351944,device,Previous fraud attempt,2025-10-03
205.233.105.56,ip,Known botnet activity,2025-11-06
dev_385515,device,Previous fraud attempt,2025-11-29
dev_703873,device,Suspicious login pattern,2025-11-21
92.189.229.53,ip,Previous fraud attempt,2025-12-09
acc_961867,account,Suspicious login pattern,2025-11-21
acc_409448,account,Suspicious login pattern,2025-10-18
dev_108394,device,Previous fraud attempt,2025-09-07
185.238.132.243,ip,Previous fraud attempt,2025-10-05
acc_412322,account,Known botnet activity,2025-11-11
acc_398373,account,Previous fraud attempt,2025-09-09
dev_379871,device,Known botnet activity,2025-10-04
176.71.103.26,ip,Suspicious login pattern,2025-10-04
21.164.122.143,ip,Suspicious login pattern,2025-11-16
dev_109794,device,Suspicious login pattern,2025-12-19
acc_579838,account,Chargeback abuse,2025-12-10
85.139.139.245,ip,Known botnet activity,2025-09-01
acc_113812,account,Previous fraud attempt,2025-12-10
11.76.122.159,ip,Suspicious login pattern,2025-09-11
158.13.142.72,ip,Suspicious login pattern,2025-11-09
dev_467154,device,Suspicious login pattern,2025-09-23
dev_813715,device,Chargeback abuse,2025-10-10
dev_221982,device,Known botnet activity,2025-12-04
acc_725920,account,Known botnet activity,2025-09-19
66.162.121.155,ip,Chargeback abuse,2025-11-17
dev_137905,device,Suspicious login pattern,2025-09-14
173.15.27.182,ip,Previous fraud attempt,2025-10-17
dev_775996,device,Known botnet activity,2025-11-29
114.53.90.129,ip,Known botnet activity,2025-11-28
acc_488308,account,Known botnet activity,2025-09-04
102.155.29.62,ip,Known botnet activity,2025-09-11
36.149.98.11,ip,Known botnet activity,2025-11-27
110.5.143.59,ip,Known botnet activity,2025-10-14
acc_446700,account,Previous fraud attempt,2025-12-06
dev_991737,device,Chargeback abuse,2025-11-30
dev_87966,device,Previous fraud attempt,2025-12-06
124.156.232.3,ip,Suspicious login pattern,2025-12-07
27.198.166.108,ip,Known botnet activity,2025-12-18
acc_35040,account,Known botnet activity,2025-10-25
acc_808726,account,Known botnet activity,2025-11-25
48.107.108.145,ip,Chargeback abuse,2025-11-19
acc_304568,account,Chargeback abuse,2025-09-07
26.175.176.35,ip,Known botnet activity,2025-10-10
acc_460613,account,Known botnet activity,2025-09-09
acc_42109,account,Suspicious login pattern,2025-09-16
20.196.3.44,ip,Known botnet activity,2025-12-01
175.63.101.99,ip,Previous fraud attempt,2025-11-23
150.104.11.45,ip,Suspicious login pattern,2025-09-10
178.110.112.50,ip,Suspicious login pattern,2025-10-24
acc_43513,account,Suspicious login pattern,2025-09-21
acc_414455,account,Suspicious login pattern,2025-11-11
dev_679777,device,Suspicious login pattern,2025-10-04
79.169.1.165,ip,Suspicious login pattern,2025-12-13
acc_999900,account,Suspicious login pattern,2025-10-10
dev_800673,device,Known botnet activity,2025-10-30
11.67.10.189,ip,Suspicious login pattern,2025-10-21
63.165.42.76,ip,Suspicious login pattern,2025-10-28
103.15.122.46,ip,Previous fraud attempt,2025-10-03
dev_913231,device,Chargeback abuse,2025-11-07
acc_685512,account,Previous fraud attempt,2025-11-16
215.132.159.230,ip,Known botnet activity,2025-12-03
209.26.34.60,ip,Suspicious login pattern,2025-08-31
acc_335291,account,Known botnet activity,2025-09-13
acc_970762,account,Previous fraud attempt,2025-10-19
51.57.163.39,ip,Previous fraud attempt,2025-10-09
65.4.241.71,ip,Chargeback abuse,2025-10-14
183.51.66.186,ip,Known botnet activity,2025-12-15
acc_299100,account,Known botnet activity,2025-09-03
dev_176762,device,Suspicious login pattern,2025-11-15
dev_187143,device,Chargeback abuse,2025-12-08
acc_72493,account,Known botnet activity,2025-11-27
dev_522043,device,Suspicious login pattern,2025-10-27
dev_670540,device,Suspicious login pattern,2025-08-31
acc_904994,account,Suspicious login pattern,2025-12-19
acc_987102,account,Chargeback abuse,2025-08-29
acc_432880,account,Chargeback abuse,2025-11-27
99.150.84.32,ip,Suspicious login pattern,2025-09-20
acc_134775,account,Suspicious login pattern,2025-11-13
164.136.173.236,ip,Suspicious login pattern,2025-12-22
dev_149035,device,Suspicious login pattern,2025-12-21
dev_822875,device,Previous fraud attempt,2025-10-23
167.175.188.143,ip,Chargeback abuse,2025-10-31
acc_103980,account,Chargeback abuse,2025-11-08
dev_964286,device,Previous fraud attempt,2025-12-17
190.169.63.106,ip,Suspicious login pattern,2025-11-30
acc_377857,account,Previous fraud attempt,2025-12-19
dev_642179,device,Previous fraud attempt,2025-11-28
99.4.151.229,ip,Chargeback abuse,2025-09-22
dev_494301,device,Previous fraud attempt,2025-11-17
acc_423468,account,Chargeback abuse,2025-09-27
acc_135925,account,Previous fraud attempt,2025-11-07
acc_624245,account,Previous fraud attempt,2025-10-28
123.178.164.57,ip,Previous fraud attempt,2025-12-19
188.77.41.184,ip,Known botnet activity,2025-08-29
acc_619601,account,Previous fraud attempt,2025-11-18
54.230.189.88,ip,Known botnet activity,2025-10-04
dev_338377,device,Known botnet activity,2025-09-26
107.159.225.13,ip,Suspicious login pattern,2025-11-23
acc_493926,account,Suspicious login pattern,2025-11-19
dev_932705,device,Chargeback abuse,2025-11-18
19.19.99.64,ip,Known botnet activity,2025-11-04
174.44.255.70,ip,Previous fraud attempt,2025-12-12
70.43.253.6,ip,Known botnet activity,2025-09-12
149.250.191.210,ip,Known botnet activity,2025-09-25
145.5.35.140,ip,Suspicious login pattern,2025-11-06
214.47.109.93,ip,Suspicious login pattern,2025-11-01
dev_493018,device,Suspicious login pattern,2025-10-27
107.184.204.178,ip,Known botnet activity,2025-12-01
202.9.184.245,ip,Chargeback abuse,2025-10-30
165.42.121.116,ip,Chargeback abuse,2025-10-04
201.134.138.175,ip,Suspicious login pattern,2025-12-23
acc_76591,account,Known botnet activity,2025-11-09
acc_449055,account,Chargeback abuse,2025-09-04
acc_238673,account,Suspicious login pattern,2025-10-06
dev_980507,device,Suspicious login pattern,2025-10-20
dev_845600,device,Chargeback abuse,2025-09-08
dev_149884,device,Chargeback abuse,2025-12-11
acc_930952,account,Known botnet activity,2025-10-29
acc_642631,account,Suspicious login pattern,2025-11-19
dev_239363,device,Previous fraud attempt,2025-11-12
dev_130322,device,Suspicious login pattern,2025-11-27
dev_28933,device,Previous fraud attempt,2025-09-18
19.79.228.191,ip,Chargeback abuse,2025-10-15
179.19.238.228,ip,Known botnet activity,2025-12-02
102.177.139.76,ip,Chargeback abuse,2025-11-22
12.57.43.84,ip,Chargeback abuse,2025-11-10
acc_902739,account,Chargeback abuse,2025-11-24
acc_818784,account,Known botnet activity,2025-12-06
dev_187896,device,Chargeback abuse,2025-10-31
59.7.121.55,ip,Previous fraud attempt,2025-09-29
dev_509243,device,Previous fraud attempt,2025-11-13
203.218.225.176,ip,Known botnet activity,2025-11-18
dev_732780,device,Previous fraud attempt,2025-10-19
dev_545993,device,Previous fraud attempt,2025-08-30
dev_14047,device,Chargeback abuse,2025-10-31
dev_43865,device,Previous fraud attempt,2025-09-16
132.212.87.206,ip,Suspicious login pattern,2025-12-19
111.152.77.236,ip,Known botnet activity,2025-11-17
146.53.85.183,ip,Known botnet activity,2025-10-19
110.68.12.130,ip,Suspicious login pattern,2025-12-16
dev_294586,device,Previous fraud attempt,2025-09-30
dev_239057,device,Known botnet activity,2025-09-03
dev_541023,device,Suspicious login pattern,2025-12-25
dev_278515,device,Known botnet activity,2025-11-29
dev_438709,device,Previous fraud attempt,2025-12-05
acc_865680,account,Suspicious login pattern,2025-10-02
acc_93858,account,Known botnet activity,2025-12-06
acc_205137,account,Previous fraud attempt,2025-11-25
dev_924799,device,Chargeback abuse,2025-10-15
208.75.69.70,ip,Previous fraud attempt,2025-11-25
dev_2431,device,Chargeback abuse,2025-10-10
dev_443846,device,Suspicious login pattern,2025-09-19
dev_73017,device,Suspicious login pattern,2025-12-15
acc_7809,account,Chargeback abuse,2025-12-02
acc_532253,account,Suspicious login pattern,2025-12-25
acc_962855,account,Known botnet activity,2025-12-11
acc_196029,account,Previous fraud attempt,2025-09-13
dev_149576,device,Chargeback abuse,2025-11-07
acc_834656,account,Suspicious login pattern,2025-10-24
acc_779404,account,Suspicious login pattern,2025-11-07
198.154.63.244,ip,Previous fraud attempt,2025-10-31
acc_776368,account,Known botnet activity,2025-11-05
141.124.167.87,ip,Known botnet activity,2025-09-04
acc_634157,account,Previous fraud attempt,2025-10-19
112.90.179.117,ip,Known botnet activity,2025-09-24
146.39.143.77,ip,Previous fraud attempt,2025-11-19
155.176.97.110,ip,Suspicious login pattern,2025-12-17
dev_767631,device,Known botnet activity,2025-12-04
dev_542344,device,Chargeback abuse,2025-12-22
acc_716179,account,Known botnet activity,2025-10-23
dev_604754,device,Suspicious login pattern,2025-10-08
93.58.206.162,ip,Chargeback abuse,2025-09-09
140.211.159.127,ip,Chargeback abuse,2025-09-03
dev_1631,device,Previous fraud attempt,2025-11-18
97.197.195.34,ip,Known botnet activity,2025-11-09
dev_988848,device,Previous fraud attempt,2025-09-26
214.120.69.74,ip,Suspicious login pattern,2025-10-04
dev_923914,device,Known botnet activity,2025-09-17
dev_691088,device,Previous fraud attempt,2025-11-01
dev_384713,device,Known botnet activity,2025-11-20
dev_228254,device,Known botnet activity,2025-10-23
acc_954506,account,Known botnet activity,2025-08-29
acc_576759,account,Chargeback abuse,2025-09-16
dev_575804,device,Known botnet activity,2025-11-05
54.82.199.138,ip,Previous fraud attempt,2025-09-15
acc_16151,account,Known botnet activity,2025-09-20
dev_853380,device,Suspicious login pattern,2025-10-15
dev_27013,device,Chargeback abuse,2025-09-06
acc_527557,account,Suspicious login pattern,2025-12-09
dev_75365,device,Previous fraud attempt,2025-09-16
dev_792193,device,Chargeback abuse,2025-09-12
42.53.59.123,ip,Chargeback abuse,2025-10-24
dev_72017,device,Previous fraud attempt,2025-09-09
dev_921896,device,Known botnet activity,2025-12-03
30.136.243.25,ip,Known botnet activity,2025-09-13
acc_852753,account,Previous fraud attempt,2025-11-27
219.166.44.171,ip,Previous fraud attempt,2025-10-10
111.3.48.67,ip,Chargeback abuse,2025-09-22
acc_688108,account,Previous fraud attempt,2025-11-11
acc_83046,account,Chargeback abuse,2025-11-25
dev_75617,device,Known botnet activity,2025-11-21
acc_672449,account,Known botnet activity,2025-09-30
dev_603984,device,Known botnet activity,2025-09-23
123.25.131.173,ip,Chargeback abuse,2025-10-22
168.53.194.181,ip,Chargeback abuse,2025-12-10
128.71.120.63,ip,Suspicious login pattern,2025-09-08
119.130.58.42,ip,Known botnet activity,2025-11-22
acc_610740,account,Suspicious login pattern,2025-10-18
acc_227057,account,Suspicious login pattern,2025-11-28
dev_563984,device,Chargeback abuse,2025-12-03
3.195.83.20,ip,Chargeback abuse,2025-11-05
acc_672032,account,Known botnet activity,2025-10-21
dev_737818,device,Chargeback abuse,2025-10-10
dev_226000,device,Previous fraud attempt,2025-09-17
acc_605327,account,Known botnet activity,2025-10-25
dev_558470,device,Known botnet activity,2025-10-02
dev_258693,device,Known botnet activity,2025-12-05
25.54.183.40,ip,Known botnet activity,2025-09-15
194.83.150.176,ip,Known botnet activity,2025-12-08
acc_460910,account,Chargeback abuse,2025-11-15
dev_401084,device,Known botnet activity,2025-09-19
dev_754088,device,Previous fraud attempt,2025-12-09
dev_847561,device,Suspicious login pattern,2025-12-11
acc_838696,account,Chargeback abuse,2025-10-11
136.60.234.70,ip,Known botnet activity,2025-11-30
acc_876743,account,Previous fraud attempt,2025-11-16
acc_511360,account,Suspicious login pattern,2025-11-05
acc_550919,account,Chargeback abuse,2025-11-30
dev_211505,device,Chargeback abuse,2025-09-20
126.119.141.23,ip,Previous fraud attempt,2025-08-29
40.133.242.137,ip,Previous fraud attempt,2025-09-06
dev_768267,device,Chargeback abuse,2025-10-10
dev_442413,device,Suspicious login pattern,2025-09-07
143.251.28.237,ip,Previous fraud attempt,2025-11-23
acc_665232,account,Previous fraud attempt,2025-09-07
acc_408507,account,Chargeback abuse,2025-11-01
acc_628058,account,Suspicious login pattern,2025-08-31
acc_160563,account,Suspicious login pattern,2025-09-12
23.177.7.71,ip,Previous fraud attempt,2025-08-31
dev_679666,device,Suspicious login pattern,2025-12-22
182.172.187.165,ip,Chargeback abuse,2025-12-19
acc_88021,account,Known botnet activity,2025-10-04
48.45.87.168,ip,Chargeback abuse,2025-11-07
dev_495078,device,Suspicious login pattern,2025-09-19
34.103.125.226,ip,Previous fraud attempt,2025-12-07
50.14.254.102,ip,Chargeback abuse,2025-09-02
acc_599581,account,Suspicious login pattern,2025-09-02
146.15.179.136,ip,Previous fraud attempt,2025-08-30
46.37.153.104,ip,Previous fraud attempt,2025-11-12
acc_580321,account,Previous fraud attempt,2025-11-17
133.125.229.115,ip,Chargeback abuse,2025-10-15
dev_438872,device,Suspicious login pattern,2025-09-03
acc_762992,account,Previous fraud attempt,2025-11-03
acc_791745,account,Suspicious login pattern,2025-09-03
dev_162683,device,Chargeback abuse,2025-11-21
29.193.95.49,ip,Previous fraud attempt,2025-12-07
dev_709927,device,Suspicious login pattern,2025-12-22
42.45.106.83,ip,Suspicious login pattern,2025-12-06
dev_153547,device,Suspicious login pattern,2025-12-02
dev_692404,device,Suspicious login pattern,2025-12-22
acc_72901,account,Previous fraud attempt,2025-09-30
81.158.91.141,ip,Chargeback abuse,2025-09-02
15.240.151.57,ip,Chargeback abuse,2025-09-13
dev_748479,device,Chargeback abuse,2025-11-30
acc_503640,account,Chargeback abuse,2025-09-25
acc_987156,account,Known botnet activity,2025-12-13
acc_797666,account,Chargeback abuse,2025-09-02
78.170.223.172,ip,Chargeback abuse,2025-12-07
dev_290048,device,Previous fraud attempt,2025-12-17
acc_430972,account,Chargeback abuse,2025-11-23
159.88.82.217,ip,Known botnet activity,2025-09-27
acc_487409,account,Suspicious login pattern,2025-11-12
dev_220599,device,Chargeback abuse,2025-09-26
acc_301240,account,Suspicious login pattern,2025-11-21
acc_948659,account,Chargeback abuse,2025-10-20
dev_153510,device,Known botnet activity,2025-12-25
acc_119590,account,Previous fraud attempt,2025-12-22
116.240.123.149,ip,Suspicious login pattern,2025-10-02
dev_114140,device,Known botnet activity,2025-12-03
acc_38068,account,Previous fraud attempt,2025-12-04
190.102.56.39,ip,Suspicious login pattern,2025-10-25
dev_254566,device,Previous fraud attempt,2025-12-01
acc_115749,account,Previous fraud attempt,2025-11-01
dev_137955,device,Previous fraud attempt,2025-09-28
150.36.102.151,ip,Previous fraud attempt,2025-11-04
dev_334990,device,Chargeback abuse,2025-09-27
74.58.0.78,ip,Previous fraud attempt,2025-10-08
dev_675258,device,Previous fraud attempt,2025-12-22
dev_441121,device,Chargeback abuse,2025-10-18
dev_445165,device,Previous fraud attempt,2025-10-10
dev_606417,device,Chargeback abuse,2025-09-07
acc_796232,account,Known botnet activity,2025-09-18
acc_188746,account,Known botnet activity,2025-11-27
131.86.228.23,ip,Chargeback abuse,2025-11-01
36.64.164.225,ip,Suspicious login pattern,2025-11-23
71.64.8.39,ip,Suspicious login pattern,2025-09-22
acc_822218,account,Chargeback abuse,2025-10-14
